;;;;;;;0
3;0;-1,26;0;39,89;10;91,8;1442
3;0;-1,11;0;20,45;10;91,8;1445
4;0;-1,15;0;20,45;10;91,8;1449
3;0;-0,98;0;40,89;10;88,6;1452
4;0;-0,75;0;39,89;10;88,6;1456
3;0;-0,9;0;19,45;10;88,6;1459
3;0;-0,85;0;40,39;10;88,6;1462
3;0;-0,82;0;19,95;10;88,6;1465
3;0;-0,89;0;40,39;10;88,6;1468
4;0;-0,83;0;20,94;10;88,6;1472
3;0;-0,86;0;40,89;10;88,6;1475
3;0;-0,9;0;19,95;10;88,6;1478
3;0;-0,95;0;40,39;10;88,6;1481
3;0;-0,9;0;19,95;10;88,6;1484
4;0;-0,88;0;39,89;10;88,6;1488
3;0;-0,88;0;21,44;10;88,6;1491
3;0;-0,93;0;40,39;10;88,6;1494
3;0;-0,9;0;20,45;10;88,6;1497
3;0;-0,81;0;40,89;10;88,6;1500
4;0;-0,86;0;19,95;10;88,6;1504
3;0;-0,91;0;40,39;10;88,6;1507
3;0;-0,86;0;19,95;10;88,6;1510
3;0;-0,79;0;39,39;10;88,6;1513
4;0;-0,86;0;19,95;10;88,6;1517
3;0;-0,86;0;39,89;10;88,6;1520
3;0;-0,85;0;20,45;10;88,6;1523
3;0;-0,77;0;40,89;10;88,6;1526
3;0;-0,83;0;20,45;10;82,7;1529
4;0;-0,75;0;40,89;10;82,7;1533
3;0;-0,82;0;19,95;10;82,7;1536
3;0;-0,69;0;40,39;10;82,7;1539
3;0;-0,72;0;19,95;10;82,7;1542
3;0;-0,68;0;39,89;10;82,7;1545
4;0;-0,63;0;19,45;10;82,7;1549
3;0;-0,67;0;39,89;10;82,7;1552
3;0;-0,66;0;19,95;10;82,7;1555
3;0;-0,59;0;40,89;10;82,7;1558
4;0;-0,65;0;19,95;10;82,7;1562
3;0;-0,66;0;40,89;10;82,7;1565
3;0;-0,59;0;19,45;10;82,7;1568
3;0;-0,53;0;39,89;10;82,7;1571
3;0;-0,53;0;20,45;10;82,7;1574
4;0;-0,45;0;39,89;10;82,7;1578
3;0;-0,53;0;19,95;10;82,7;1581
3;0;-0,53;0;39,89;10;82,7;1584
3;0;-0,53;0;20,45;10;82,7;1587
3;0;-0,53;0;40,89;10;82,7;1590
4;0;-0,59;0;19,95;10;82,7;1594
3;0;-0,58;0;40,89;10;82,7;1597
3;0;-0,51;0;19,95;10;82,7;1600
3;0;-0,52;0;39,89;10;82,7;1603
3;0;-0,44;0;19,45;10;82,7;1606
4;0;-0,49;0;39,39;10;82,7;1610
3;0;-0,47;0;20,45;10;82,7;1613
3;0;-0,47;0;40,39;10;82,7;1616
3;0;-0,46;0;20,45;10;82,7;1619
4;0;-0,39;0;40,89;10;82,7;1623
3;0;-0,46;0;20,94;10;82,7;1626
3;0;-0,55;0;40,89;10;79,2;1629
3;0;-0,49;0;19,95;10;79,2;1632
3;0;-0,44;0;39,89;10;79,2;1635
