Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,42,59.60,13.90,0.00,0.00,0.00,30.00,65.85,-5.28,0.00,0.00,0.04,0
L,41,57.40,58.70,20.00,20.24,0.01,0.00,582.50,-134.41,0.04,15.00,0.00,0
S,40,57.40,13.90,0.00,0.00,0.00,30.00,65.85,1.48,0.00,0.00,0.04,0
L,42,55.70,58.70,20.00,19.65,0.01,0.00,596.46,-140.11,0.03,15.00,0.00,0
S,41,57.30,13.90,0.00,0.00,0.00,30.00,65.85,-3.05,0.00,0.00,0.03,0
L,40,54.50,58.70,20.00,20.99,0.01,0.00,563.50,-144.67,0.03,15.00,0.00,0
S,42,57.70,13.90,0.00,0.00,0.00,30.00,65.85,-2.78,0.00,0.00,0.03,0
L,42,54.50,58.70,20.00,19.57,0.01,0.00,594.86,-149.34,0.03,15.00,0.00,0
S,41,57.70,13.90,0.00,0.00,0.00,30.00,65.85,-5.40,0.00,0.00,0.03,0
L,40,55.80,58.70,20.00,20.14,0.01,0.00,582.47,-150.21,0.03,15.00,0.00,0
S,40,59.10,13.90,0.00,0.00,0.00,30.00,65.85,-1.06,0.00,0.00,0.03,0
L,42,58.90,58.70,20.00,20.37,0.01,0.00,575.67,-150.70,0.03,15.00,0.00,0
S,42,57.70,13.90,0.00,0.00,0.00,30.00,65.85,-2.75,0.00,0.00,0.03,0
L,41,60.40,58.70,20.00,19.84,0.01,0.00,587.35,-143.92,0.03,15.00,0.00,0
S,42,57.80,13.90,0.00,0.00,0.00,30.00,65.85,-2.32,0.00,0.00,0.03,0
L,40,61.60,58.70,20.00,20.61,0.01,0.00,568.06,-145.20,0.03,15.00,0.00,0
S,42,57.50,13.90,0.00,0.00,0.00,30.00,65.85,-0.60,0.00,0.00,0.03,0
L,42,63.20,58.70,20.00,20.20,0.01,0.00,575.37,-141.85,0.03,15.00,0.00,0
