Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,14.70,15.00,7.75,6.57,0,0.01,0.05,0.03,0.01,9.94,0.00,1
S,40,80.00,15.00,6.12,5.26,0,0.08,0.08,0.08,0.08,6.12,0.01,0
L,40,80.00,80.00,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.77,7.08,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,7.59,5.46,0,0.08,0.08,0.08,0.08,7.59,0.01,0
L,40,80.00,80.00,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.90,15.00,8.56,7.58,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,7.59,5.89,0,0.08,0.08,0.08,0.08,7.59,0.01,0
L,40,80.00,80.00,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,8.96,8.10,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,7.59,6.44,0,0.08,0.08,0.08,0.08,7.59,0.01,0
L,40,80.00,80.00,10.00,10.08,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,8.14,8.45,0,0.01,0.00,0.03,0.00,10.14,0.00,1
S,40,80.00,15.00,8.67,6.97,0,0.08,0.08,0.08,0.08,8.67,0.00,0
L,40,80.00,80.00,10.00,10.13,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,14.80,15.00,8.11,8.61,0,0.01,0.00,0.03,0.00,10.14,0.00,1
S,40,80.00,15.00,8.67,7.36,0,0.08,0.08,0.08,0.08,8.67,0.00,0
L,40,80.00,80.00,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,8.91,8.85,0,0.01,0.00,0.03,0.00,10.24,0.00,1
S,40,23.70,15.00,8.39,7.75,0,0.08,0.08,0.08,0.08,8.39,0.00,0
L,40,80.00,80.00,10.00,10.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,9.33,8.75,0,0.01,0.00,0.03,0.00,10.24,0.00,1
S,40,24.40,15.00,8.39,7.91,0,0.08,0.08,0.08,0.08,8.39,0.00,0
L,40,80.00,80.00,10.00,10.26,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.75,8.32,0,0.01,0.00,0.03,0.00,10.23,0.00,1
S,40,21.80,15.00,8.39,8.00,0,0.08,0.08,0.08,0.08,8.39,0.00,0
L,40,80.00,80.00,10.00,10.28,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.60,8.71,0,0.01,0.00,0.03,0.00,10.23,0.00,1
