Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,77.60,59.10,20.00,19.90,0,0.08,0.07,0.07,0.07,15.00,0.00,0
S,40,54.60,14.30,19.96,19.84,1,0.00,0.00,0.00,0.00,19.96,0.07,0
L,40,77.30,59.10,20.00,19.84,0,0.08,0.07,0.07,0.07,15.00,0.00,0
S,40,54.70,14.30,19.96,19.77,1,0.00,0.00,0.00,0.00,19.96,0.07,0
L,40,76.80,59.10,20.00,19.77,0,0.08,0.07,0.07,0.07,15.00,0.00,0
S,40,52.80,14.30,19.28,19.92,1,0.00,0.00,0.00,0.00,19.28,0.07,0
L,40,78.20,59.10,20.00,19.92,0,0.08,0.08,0.07,0.07,15.00,0.00,0
S,40,52.90,14.30,19.28,19.96,1,0.00,0.00,0.00,0.00,19.28,0.07,0
L,40,77.40,59.10,20.00,20.03,0,0.08,0.08,0.07,0.07,15.00,0.00,0
S,40,52.20,14.30,20.21,19.73,1,0.00,0.00,0.00,0.00,20.21,0.07,0
L,40,78.00,59.10,20.00,20.09,0,0.08,0.08,0.07,0.07,15.00,0.00,0
S,40,51.10,14.30,20.21,19.55,1,0.00,0.00,0.00,0.00,20.21,0.07,0
L,40,76.00,59.10,20.00,20.10,0,0.08,0.08,0.07,0.07,15.00,0.00,0
S,41,50.90,14.30,20.21,19.63,1,0.00,0.00,0.00,0.00,20.21,0.07,0
L,40,73.50,59.10,20.00,20.00,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,50.80,14.30,18.90,19.83,1,0.00,0.00,0.00,0.00,18.90,0.08,0
L,40,72.10,59.10,20.00,20.16,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.80,14.30,18.90,19.93,1,0.00,0.00,0.00,0.00,18.90,0.08,0
L,40,59.00,59.10,20.00,20.20,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.90,14.30,20.17,19.68,1,0.00,0.00,0.00,0.00,20.17,0.08,0
L,40,54.90,59.10,20.00,20.23,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.00,14.30,20.17,19.66,1,0.00,0.00,0.00,0.00,20.17,0.08,0
L,40,48.50,59.10,20.00,20.24,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.20,14.30,20.33,19.45,1,0.00,0.00,0.00,0.00,20.33,0.08,0
L,40,42.00,59.10,20.00,18.92,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.00,14.30,20.33,19.56,1,0.03,0.00,0.00,0.03,20.33,0.08,0
L,40,39.20,59.10,20.00,19.52,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.10,14.30,20.33,19.73,1,0.03,0.00,0.00,0.03,20.33,0.08,0
L,40,35.70,59.10,20.00,19.96,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,48.40,14.30,20.26,19.97,1,0.03,0.00,0.00,0.03,20.26,0.08,0
L,40,29.90,59.10,20.00,20.60,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,47.70,14.30,20.26,18.88,1,0.03,0.00,0.00,0.03,20.26,0.08,0
L,40,29.10,59.10,20.00,20.49,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,46.50,14.30,20.52,20.98,1,0.03,0.05,0.00,0.05,20.52,0.08,0
L,40,31.60,59.10,20.00,20.51,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,45.10,14.30,20.52,20.55,1,0.03,0.05,0.00,0.05,20.52,0.08,0
L,40,33.80,59.10,20.00,20.37,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,46.80,14.30,20.52,20.56,1,0.03,0.05,0.00,0.05,20.52,0.08,0
L,41,45.40,59.10,20.00,20.02,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,47.80,14.30,20.13,19.96,0,0.03,0.05,0.07,0.03,20.13,0.08,0
L,40,45.10,59.10,20.00,20.15,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,49.80,14.30,20.13,20.44,0,0.03,0.05,0.07,0.03,20.13,0.08,0
L,40,44.40,59.10,20.00,20.16,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,41,53.80,14.30,20.22,20.41,0,0.03,0.05,0.07,0.03,20.22,0.08,0
L,40,53.60,59.10,20.00,20.22,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,56.00,14.30,20.22,20.26,0,0.03,0.05,0.07,0.03,20.22,0.08,0
L,40,49.80,59.10,20.00,20.18,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,56.90,14.30,20.22,20.05,0,0.03,0.05,0.07,0.03,20.22,0.08,0
L,41,44.30,59.10,20.00,20.16,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,63.60,14.30,20.16,20.07,0,0.08,0.05,0.07,0.05,20.16,0.08,0
L,40,54.90,59.10,20.00,20.16,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,69.50,14.30,20.16,20.13,0,0.08,0.05,0.07,0.05,20.16,0.08,0
L,40,54.90,59.10,20.00,20.09,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,74.60,14.30,20.26,20.03,0,0.08,0.05,0.07,0.05,20.26,0.08,0
L,40,80.00,59.10,20.00,20.21,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,80.00,14.30,20.26,20.07,0,0.08,0.05,0.07,0.05,20.26,0.08,0
L,40,80.00,59.10,20.00,20.13,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,80.00,14.30,20.26,20.02,0,0.08,0.08,0.07,0.07,20.26,0.08,0
L,41,73.10,59.10,20.00,19.61,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,80.00,14.30,20.02,20.08,0,0.08,0.08,0.07,0.07,20.02,0.08,0
L,40,72.10,59.10,20.00,19.11,0,0.08,0.08,0.08,0.08,15.00,0.00,0
S,40,80.00,14.30,20.02,20.18,0,0.08,0.08,0.07,0.07,20.02,0.08,0
L,40,70.80,59.10,20.00,20.43,0,0.08,0.08,0.05,0.05,15.00,0.00,0
S,40,80.00,14.30,19.99,20.29,0,0.08,0.08,0.07,0.07,19.99,0.05,0
L,40,64.50,59.10,20.00,19.75,0,0.08,0.08,0.05,0.05,15.00,0.00,0
S,40,80.00,14.30,19.99,20.29,0,0.08,0.08,0.08,0.08,19.99,0.05,0
L,40,80.00,59.10,20.00,20.30,0,0.08,0.08,0.05,0.05,15.00,0.00,0
S,40,80.00,14.30,19.99,19.30,0,0.08,0.08,0.08,0.08,19.99,0.05,0
L,40,80.00,59.10,20.00,20.08,0,0.08,0.08,0.05,0.05,15.00,0.00,0
S,40,80.00,14.30,20.09,20.64,0,0.08,0.08,0.08,0.08,20.09,0.05,0
L,40,80.00,59.10,20.00,20.15,0,0.08,0.08,0.05,0.05,15.00,0.00,0
S,40,79.20,14.30,20.09,19.43,0,0.08,0.08,0.08,0.08,20.09,0.05,0
L,40,80.00,59.10,20.00,20.03,0,0.02,0.08,0.05,0.02,15.00,0.00,0
